,organism,antibiotic,region,date,forecast
342,E-coli,Third Generation Cephalosporins,North East,2025-07-01,11.483015
343,E-coli,Third Generation Cephalosporins,North East,2025-08-01,11.659341
344,E-coli,Third Generation Cephalosporins,North East,2025-09-01,11.841735
345,E-coli,Third Generation Cephalosporins,North East,2025-10-01,11.947285
346,E-coli,Third Generation Cephalosporins,North East,2025-11-01,11.952797
347,E-coli,Third Generation Cephalosporins,North East,2025-12-01,11.877779
348,E-coli,Third Generation Cephalosporins,North West,2025-07-01,18.655016
349,E-coli,Third Generation Cephalosporins,North West,2025-08-01,18.208864
350,E-coli,Third Generation Cephalosporins,North West,2025-09-01,17.836071
351,E-coli,Third Generation Cephalosporins,North West,2025-10-01,17.360394
352,E-coli,Third Generation Cephalosporins,North West,2025-11-01,17.015322
353,E-coli,Third Generation Cephalosporins,North West,2025-12-01,17.092855
354,E-coli,Third Generation Cephalosporins,South East,2025-07-01,16.262407
355,E-coli,Third Generation Cephalosporins,South East,2025-08-01,16.284777
356,E-coli,Third Generation Cephalosporins,South East,2025-09-01,16.29263
357,E-coli,Third Generation Cephalosporins,South East,2025-10-01,16.28339
358,E-coli,Third Generation Cephalosporins,South East,2025-11-01,16.260048
359,E-coli,Third Generation Cephalosporins,South East,2025-12-01,16.260048
360,E-coli,Third Generation Cephalosporins,South West,2025-07-01,12.544514
361,E-coli,Third Generation Cephalosporins,South West,2025-08-01,12.4128895
362,E-coli,Third Generation Cephalosporins,South West,2025-09-01,12.064592
363,E-coli,Third Generation Cephalosporins,South West,2025-10-01,11.781771
364,E-coli,Third Generation Cephalosporins,South West,2025-11-01,11.826324
365,E-coli,Third Generation Cephalosporins,South West,2025-12-01,11.71382
366,E-coli,Third Generation Cephalosporins,West Midlands,2025-07-01,17.092308
367,E-coli,Third Generation Cephalosporins,West Midlands,2025-08-01,17.50317
368,E-coli,Third Generation Cephalosporins,West Midlands,2025-09-01,18.271072
369,E-coli,Third Generation Cephalosporins,West Midlands,2025-10-01,18.890743
370,E-coli,Third Generation Cephalosporins,West Midlands,2025-11-01,19.151094
371,E-coli,Third Generation Cephalosporins,West Midlands,2025-12-01,19.072674
372,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-07-01,17.770315
373,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-08-01,17.454561
374,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-09-01,17.081245
375,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-10-01,16.848526
376,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-11-01,16.726944
377,E-coli,Third Generation Cephalosporins,Yorkshire and Humber,2025-12-01,16.690998
378,K-pneumoniae,Amikacin,East Midlands,2025-07-01,1.3277496
379,K-pneumoniae,Amikacin,East Midlands,2025-08-01,1.5120838
380,K-pneumoniae,Amikacin,East Midlands,2025-09-01,1.71397
381,K-pneumoniae,Amikacin,East Midlands,2025-10-01,1.8264694
382,K-pneumoniae,Amikacin,East Midlands,2025-11-01,1.7597798
383,K-pneumoniae,Amikacin,East Midlands,2025-12-01,1.7646858
384,K-pneumoniae,Amikacin,East of England,2025-07-01,3.488943
385,K-pneumoniae,Amikacin,East of England,2025-08-01,3.4021382
386,K-pneumoniae,Amikacin,East of England,2025-09-01,3.4722834
387,K-pneumoniae,Amikacin,East of England,2025-10-01,3.465443
388,K-pneumoniae,Amikacin,East of England,2025-11-01,3.6957438
389,K-pneumoniae,Amikacin,East of England,2025-12-01,3.8278694
390,K-pneumoniae,Amikacin,London,2025-07-01,2.9467478
391,K-pneumoniae,Amikacin,London,2025-08-01,2.8779473
392,K-pneumoniae,Amikacin,London,2025-09-01,3.2847435
393,K-pneumoniae,Amikacin,London,2025-10-01,3.6451938
394,K-pneumoniae,Amikacin,London,2025-11-01,3.795141
395,K-pneumoniae,Amikacin,London,2025-12-01,3.8466983
396,K-pneumoniae,Amikacin,North East,2025-07-01,3.2340574
397,K-pneumoniae,Amikacin,North East,2025-08-01,4.325995
398,K-pneumoniae,Amikacin,North East,2025-09-01,4.0783477
399,K-pneumoniae,Amikacin,North East,2025-10-01,4.087648
400,K-pneumoniae,Amikacin,North East,2025-11-01,4.0415335
401,K-pneumoniae,Amikacin,North East,2025-12-01,4.1273837
402,K-pneumoniae,Amikacin,North West,2025-07-01,4.396262
403,K-pneumoniae,Amikacin,North West,2025-08-01,3.8766956
404,K-pneumoniae,Amikacin,North West,2025-09-01,3.4187827
405,K-pneumoniae,Amikacin,North West,2025-10-01,2.9477654
406,K-pneumoniae,Amikacin,North West,2025-11-01,2.7104192
407,K-pneumoniae,Amikacin,North West,2025-12-01,2.6521528
408,K-pneumoniae,Amikacin,South East,2025-07-01,0.8809331
409,K-pneumoniae,Amikacin,South East,2025-08-01,0.8307992
410,K-pneumoniae,Amikacin,South East,2025-09-01,0.7511673
411,K-pneumoniae,Amikacin,South East,2025-10-01,0.739026
412,K-pneumoniae,Amikacin,South East,2025-11-01,0.71664554
413,K-pneumoniae,Amikacin,South East,2025-12-01,0.743589
414,K-pneumoniae,Amikacin,South West,2025-07-01,1.0098463
415,K-pneumoniae,Amikacin,South West,2025-08-01,0.37888953
416,K-pneumoniae,Amikacin,South West,2025-09-01,0.2719121
