date,series_id,value
2023-05-01,E-coli__Carbapenems__East of England,0.29
2023-06-01,E-coli__Carbapenems__East of England,0.29
2023-07-01,E-coli__Carbapenems__East of England,0.09
2023-08-01,E-coli__Carbapenems__East of England,0.0
2023-09-01,E-coli__Carbapenems__East of England,0.09
2023-10-01,E-coli__Carbapenems__East of England,0.09
2023-11-01,E-coli__Carbapenems__East of England,0.2
2023-12-01,E-coli__Carbapenems__East of England,0.2
2024-01-01,E-coli__Carbapenems__East of England,0.2
2024-02-01,E-coli__Carbapenems__East of England,0.1
2024-03-01,E-coli__Carbapenems__East of England,0.0
2024-04-01,E-coli__Carbapenems__East of England,0.29
2024-05-01,E-coli__Carbapenems__East of England,0.27
2024-06-01,E-coli__Carbapenems__East of England,0.26
2024-07-01,E-coli__Carbapenems__East of England,0.08
2024-08-01,E-coli__Carbapenems__East of England,0.08
2024-09-01,E-coli__Carbapenems__East of England,0.08
2024-10-01,E-coli__Carbapenems__East of England,0.0
2024-11-01,E-coli__Carbapenems__East of England,0.0
2024-12-01,E-coli__Carbapenems__East of England,0.09
2025-01-01,E-coli__Carbapenems__East of England,0.09
2025-02-01,E-coli__Carbapenems__East of England,0.19
2025-03-01,E-coli__Carbapenems__East of England,0.09
2025-04-01,E-coli__Carbapenems__East of England,0.1
2025-05-01,E-coli__Carbapenems__East of England,0.0
2025-06-01,E-coli__Carbapenems__East of England,0.09
2021-10-01,E-coli__Carbapenems__London,0.3
2021-11-01,E-coli__Carbapenems__London,0.47
2021-12-01,E-coli__Carbapenems__London,0.82
2022-01-01,E-coli__Carbapenems__London,1.05
2022-02-01,E-coli__Carbapenems__London,0.89
2022-03-01,E-coli__Carbapenems__London,0.52
2022-04-01,E-coli__Carbapenems__London,0.21
2022-05-01,E-coli__Carbapenems__London,0.0
2022-06-01,E-coli__Carbapenems__London,0.0
2022-07-01,E-coli__Carbapenems__London,0.2
2022-08-01,E-coli__Carbapenems__London,0.29
2022-09-01,E-coli__Carbapenems__London,0.27
2022-10-01,E-coli__Carbapenems__London,0.28
2022-11-01,E-coli__Carbapenems__London,0.28
2022-12-01,E-coli__Carbapenems__London,0.39
2023-01-01,E-coli__Carbapenems__London,0.59
2023-02-01,E-coli__Carbapenems__London,1.04
2023-03-01,E-coli__Carbapenems__London,0.99
2023-04-01,E-coli__Carbapenems__London,0.88
2023-05-01,E-coli__Carbapenems__London,0.38
2023-06-01,E-coli__Carbapenems__London,0.83
2023-07-01,E-coli__Carbapenems__London,0.71
2023-08-01,E-coli__Carbapenems__London,1.03
