geography,stratum,date,organism,resistance_pct
East Midlands,Piperacillin with tazobactam,2024-09-01,E-coli,9.86
East Midlands,Piperacillin with tazobactam,2024-10-01,E-coli,9.32
East Midlands,Piperacillin with tazobactam,2024-11-01,E-coli,11.21
East Midlands,Piperacillin with tazobactam,2024-12-01,E-coli,12.73
East Midlands,Piperacillin with tazobactam,2025-01-01,E-coli,13.53
East Midlands,Piperacillin with tazobactam,2025-02-01,E-coli,12.7
East Midlands,Piperacillin with tazobactam,2025-03-01,E-coli,12.89
East Midlands,Piperacillin with tazobactam,2025-04-01,E-coli,12.55
East Midlands,Piperacillin with tazobactam,2025-05-01,E-coli,11.65
East Midlands,Piperacillin with tazobactam,2025-06-01,E-coli,11.98
East Midlands,Third Generation Cephalosporins,2020-10-01,E-coli,8.67
East Midlands,Third Generation Cephalosporins,2020-11-01,E-coli,10.03
East Midlands,Third Generation Cephalosporins,2020-12-01,E-coli,9.82
East Midlands,Third Generation Cephalosporins,2021-01-01,E-coli,8.93
East Midlands,Third Generation Cephalosporins,2021-02-01,E-coli,9.04
East Midlands,Third Generation Cephalosporins,2021-03-01,E-coli,11.02
East Midlands,Third Generation Cephalosporins,2021-04-01,E-coli,12.67
East Midlands,Third Generation Cephalosporins,2021-05-01,E-coli,12.89
East Midlands,Third Generation Cephalosporins,2021-06-01,E-coli,13.14
East Midlands,Third Generation Cephalosporins,2021-07-01,E-coli,12.97
East Midlands,Third Generation Cephalosporins,2021-08-01,E-coli,13.3
East Midlands,Third Generation Cephalosporins,2021-09-01,E-coli,12.54
East Midlands,Third Generation Cephalosporins,2021-10-01,E-coli,12.09
East Midlands,Third Generation Cephalosporins,2021-11-01,E-coli,11.6
East Midlands,Third Generation Cephalosporins,2021-12-01,E-coli,10.53
East Midlands,Third Generation Cephalosporins,2022-01-01,E-coli,11.83
East Midlands,Third Generation Cephalosporins,2022-02-01,E-coli,11.5
East Midlands,Third Generation Cephalosporins,2022-03-01,E-coli,12.78
